Length of the list   = 50
735 1295 1825 1519 596 710
1707 1259 575 1419 1329 554
266 1698 1694 825 1507 1296
1813 446 879 1456 951 1308
678 851 901 1003 1397 1355
1678 766 1397 492 1593 835
1161 1718 362 1419 1076 1305
1410 819 570 997 1494 1242
467 1496 1525 726 1040 1361
1092 261 1968 1485 1178 1245
1630 942 523 1500 1339 824
1660 1319 1804 1070 819 339
1449 656 1437 383 1501 1673
771 1324 506 1042 1488 1518
1250 301 2083 741 1271 1615
1527 1343 1738 556 913 563
936 536 1984 527 1292 1774
694 1306 1122 1507 793 801
1175 521 1386 673 1570 1138
923 635 1202 1421 924 979
1839 1855 1310 949 475 665
458 866 1283 920 1446 1608
872 436 1257 1539 1442 975
1123 705 592 1085 1543 1570
1442 308 1817 977 1442 985
766 1541 1408 989 975 606
735 1622 324 1590 1467 1832
809 504 1846 760 1603 1220
313 893 1407 1654 1613 1072
1404 461 1465 1134 567 1829
1564 1055 1218 1438 511 721
510 1525 918 1741 728 1372
360 1465 1376 1255 933 1189
614 1665 504 1184 1720 1246
595 1427 927 1626 1430 606
982 973 735 1601 697 1501
1397 767 398 1801 1174 1790
1685 755 1712 1293 1479 310
545 871 760 1342 1713 1311
760 1090 1052 1418 1729 526
1636 1612 653 1358 395 1416
899 1284 1590 946 458 1269
206 1043 1448 1564 1696 1561
583 1720 958 1518 946 832
555 1183 1725 872 1019 1002
1477 1738 744 778 877 878
1776 458 1635 831 787 1306
1651 1587 1091 1154 872 370
1002 937 1750 350 1236 1535
1069 1712 1001 637 889 1024
